image_path,pair_id,version,room_type,style_desc,style_primary,style_secondary,style_conf,style_evidence,prompt_fixed,prompt_fixed_style,split
/home/jupyter/dataset_lora/after/bathroom__189ae75ae2d90c5c33_v3.jpg,189ae75ae2d90c5c33,v3,bathroom,"White shiplap and subway tile walls, dark wood vintage vanity, warm hardwood flooring, crystal chandelier, eclectic farmhouse",Traditional,Farmhouse,high,"Clawfoot tub, ornate dark wood vanity, crystal chandelier, shiplap walls, woven wood blinds, and white subway tile.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, White shiplap and subway tile walls, dark wood vintage vanity, warm hardwood flooring, crystal chandelier, eclectic farmhouse",train
/home/jupyter/dataset_lora/after/bathroom__189ae75ae2d90c5c33_v4.jpg,189ae75ae2d90c5c33,v4,bathroom,"White shiplap and subway tile walls, dark wood vintage vanity, warm hardwood flooring, crystal chandelier, eclectic farmhouse",Traditional,Farmhouse,high,"Clawfoot tub, ornate dark wood vanity, crystal chandelier, shiplap walls, woven wood blinds, and white subway tile.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, White shiplap and subway tile walls, dark wood vintage vanity, warm hardwood flooring, crystal chandelier, eclectic farmhouse",train
/home/jupyter/dataset_lora/after/bathroom__325b020453779e053d_orig.jpg,325b020453779e053d,orig,bathroom,"green-gray penny tile walls, weathered oak vanity with marble counter, light stone flooring, polished nickel lighting, transitional",Contemporary,Traditional,high,"Shaker-style vanity, marble countertop, ornate beaded mirror, classic chrome faucets, and frameless glass shower.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, green-gray penny tile walls, weathered oak vanity with marble counter, light stone flooring, polished nickel lighting, transitional",train
/home/jupyter/dataset_lora/after/bathroom__325b020453779e053d_v0.jpg,325b020453779e053d,v0,bathroom,"green-gray penny tile walls, weathered oak vanity with marble counter, light stone flooring, polished nickel lighting, transitional",Contemporary,Traditional,high,"Shaker-style vanity, marble countertop, ornate beaded mirror, classic chrome faucets, and frameless glass shower.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, green-gray penny tile walls, weathered oak vanity with marble counter, light stone flooring, polished nickel lighting, transitional",train
/home/jupyter/dataset_lora/after/bathroom__325b020453779e053d_v1.jpg,325b020453779e053d,v1,bathroom,"green-gray penny tile walls, weathered oak vanity with marble counter, light stone flooring, polished nickel lighting, transitional",Contemporary,Traditional,high,"Shaker-style vanity, marble countertop, ornate beaded mirror, classic chrome faucets, and frameless glass shower.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, green-gray penny tile walls, weathered oak vanity with marble counter, light stone flooring, polished nickel lighting, transitional",train
/home/jupyter/dataset_lora/after/bathroom__325b020453779e053d_v2.jpg,325b020453779e053d,v2,bathroom,"green-gray penny tile walls, weathered oak vanity with marble counter, light stone flooring, polished nickel lighting, transitional",Contemporary,Traditional,high,"Shaker-style vanity, marble countertop, ornate beaded mirror, classic chrome faucets, and frameless glass shower.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, green-gray penny tile walls, weathered oak vanity with marble counter, light stone flooring, polished nickel lighting, transitional",train
/home/jupyter/dataset_lora/after/bathroom__325b020453779e053d_v3.jpg,325b020453779e053d,v3,bathroom,"green-gray penny tile walls, weathered oak vanity with marble counter, light stone flooring, polished nickel lighting, transitional",Contemporary,Traditional,high,"Shaker-style vanity, marble countertop, ornate beaded mirror, classic chrome faucets, and frameless glass shower.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, green-gray penny tile walls, weathered oak vanity with marble counter, light stone flooring, polished nickel lighting, transitional",train
/home/jupyter/dataset_lora/after/bathroom__325b020453779e053d_v4.jpg,325b020453779e053d,v4,bathroom,"green-gray penny tile walls, weathered oak vanity with marble counter, light stone flooring, polished nickel lighting, transitional",Contemporary,Traditional,high,"Shaker-style vanity, marble countertop, ornate beaded mirror, classic chrome faucets, and frameless glass shower.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, green-gray penny tile walls, weathered oak vanity with marble counter, light stone flooring, polished nickel lighting, transitional",train
/home/jupyter/dataset_lora/after/bathroom__556fd83103f6465b28_orig.jpg,556fd83103f6465b28,orig,bathroom,"soft greige walls, warm wood vanities, polished beige travertine flooring, crystal drum chandelier lighting, transitional style",Traditional,Glam,high,"Beige marble tile, curved tub deck, plantation shutters, dark wood vanity, and a crystal drum chandelier.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, soft greige walls, warm wood vanities, polished beige travertine flooring, crystal drum chandelier lighting, transitional style",train
/home/jupyter/dataset_lora/after/bathroom__556fd83103f6465b28_v0.jpg,556fd83103f6465b28,v0,bathroom,"soft greige walls, warm wood vanities, polished beige travertine flooring, crystal drum chandelier lighting, transitional style",Traditional,Glam,high,"Beige marble tile, curved tub deck, plantation shutters, dark wood vanity, and a crystal drum chandelier.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, soft greige walls, warm wood vanities, polished beige travertine flooring, crystal drum chandelier lighting, transitional style",train
/home/jupyter/dataset_lora/after/bathroom__556fd83103f6465b28_v1.jpg,556fd83103f6465b28,v1,bathroom,"soft greige walls, warm wood vanities, polished beige travertine flooring, crystal drum chandelier lighting, transitional style",Traditional,Glam,high,"Beige marble tile, curved tub deck, plantation shutters, dark wood vanity, and a crystal drum chandelier.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, soft greige walls, warm wood vanities, polished beige travertine flooring, crystal drum chandelier lighting, transitional style",train
/home/jupyter/dataset_lora/after/bathroom__556fd83103f6465b28_v2.jpg,556fd83103f6465b28,v2,bathroom,"soft greige walls, warm wood vanities, polished beige travertine flooring, crystal drum chandelier lighting, transitional style",Traditional,Glam,high,"Beige marble tile, curved tub deck, plantation shutters, dark wood vanity, and a crystal drum chandelier.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, soft greige walls, warm wood vanities, polished beige travertine flooring, crystal drum chandelier lighting, transitional style",train
/home/jupyter/dataset_lora/after/bathroom__556fd83103f6465b28_v3.jpg,556fd83103f6465b28,v3,bathroom,"soft greige walls, warm wood vanities, polished beige travertine flooring, crystal drum chandelier lighting, transitional style",Traditional,Glam,high,"Beige marble tile, curved tub deck, plantation shutters, dark wood vanity, and a crystal drum chandelier.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, soft greige walls, warm wood vanities, polished beige travertine flooring, crystal drum chandelier lighting, transitional style",train
/home/jupyter/dataset_lora/after/bathroom__556fd83103f6465b28_v4.jpg,556fd83103f6465b28,v4,bathroom,"soft greige walls, warm wood vanities, polished beige travertine flooring, crystal drum chandelier lighting, transitional style",Traditional,Glam,high,"Beige marble tile, curved tub deck, plantation shutters, dark wood vanity, and a crystal drum chandelier.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, soft greige walls, warm wood vanities, polished beige travertine flooring, crystal drum chandelier lighting, transitional style",train
/home/jupyter/dataset_lora/after/bathroom__8c6ee8cdf602b77452_orig.jpg,8c6ee8cdf602b77452,orig,bathroom,"light gray walls, gray vanity with marble top, basketweave tile flooring, brass wall sconces, transitional",Contemporary,Traditional,high,"Gray shaker vanity, marble countertop, herringbone shower tile, brass sconces, black oval mirror, and chrome fixtures.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, light gray walls, gray vanity with marble top, basketweave tile flooring, brass wall sconces, transitional",train
/home/jupyter/dataset_lora/after/bathroom__8c6ee8cdf602b77452_v0.jpg,8c6ee8cdf602b77452,v0,bathroom,"light gray walls, gray vanity with marble top, basketweave tile flooring, brass wall sconces, transitional",Contemporary,Traditional,high,"Gray shaker vanity, marble countertop, herringbone shower tile, brass sconces, black oval mirror, and chrome fixtures.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, light gray walls, gray vanity with marble top, basketweave tile flooring, brass wall sconces, transitional",train
/home/jupyter/dataset_lora/after/bathroom__8c6ee8cdf602b77452_v1.jpg,8c6ee8cdf602b77452,v1,bathroom,"light gray walls, gray vanity with marble top, basketweave tile flooring, brass wall sconces, transitional",Contemporary,Traditional,high,"Gray shaker vanity, marble countertop, herringbone shower tile, brass sconces, black oval mirror, and chrome fixtures.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, light gray walls, gray vanity with marble top, basketweave tile flooring, brass wall sconces, transitional",train
/home/jupyter/dataset_lora/after/bathroom__8c6ee8cdf602b77452_v2.jpg,8c6ee8cdf602b77452,v2,bathroom,"light gray walls, gray vanity with marble top, basketweave tile flooring, brass wall sconces, transitional",Contemporary,Traditional,high,"Gray shaker vanity, marble countertop, herringbone shower tile, brass sconces, black oval mirror, and chrome fixtures.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, light gray walls, gray vanity with marble top, basketweave tile flooring, brass wall sconces, transitional",train
/home/jupyter/dataset_lora/after/bathroom__8c6ee8cdf602b77452_v3.jpg,8c6ee8cdf602b77452,v3,bathroom,"light gray walls, gray vanity with marble top, basketweave tile flooring, brass wall sconces, transitional",Contemporary,Traditional,high,"Gray shaker vanity, marble countertop, herringbone shower tile, brass sconces, black oval mirror, and chrome fixtures.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, light gray walls, gray vanity with marble top, basketweave tile flooring, brass wall sconces, transitional",train
/home/jupyter/dataset_lora/after/bathroom__8c6ee8cdf602b77452_v4.jpg,8c6ee8cdf602b77452,v4,bathroom,"light gray walls, gray vanity with marble top, basketweave tile flooring, brass wall sconces, transitional",Contemporary,Traditional,high,"Gray shaker vanity, marble countertop, herringbone shower tile, brass sconces, black oval mirror, and chrome fixtures.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, light gray walls, gray vanity with marble top, basketweave tile flooring, brass wall sconces, transitional",train
/home/jupyter/dataset_lora/after/bathroom__8db07619badad053ee_orig.jpg,8db07619badad053ee,orig,bathroom,"pale gray walls with white trim, black and white tile flooring, classic chrome sconce, traditional cottage",Traditional,Farmhouse,high,"Classic black-and-white mosaic tile floor, white pedestal sink, traditional sconce lighting, and craftsman-style window trim.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, pale gray walls with white trim, black and white tile flooring, classic chrome sconce, traditional cottage",train
/home/jupyter/dataset_lora/after/bathroom__8db07619badad053ee_v0.jpg,8db07619badad053ee,v0,bathroom,"pale gray walls with white trim, black and white tile flooring, classic chrome sconce, traditional cottage",Traditional,Farmhouse,high,"Classic black-and-white mosaic tile floor, white pedestal sink, traditional sconce lighting, and craftsman-style window trim.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, pale gray walls with white trim, black and white tile flooring, classic chrome sconce, traditional cottage",train
/home/jupyter/dataset_lora/after/bathroom__8db07619badad053ee_v1.jpg,8db07619badad053ee,v1,bathroom,"pale gray walls with white trim, black and white tile flooring, classic chrome sconce, traditional cottage",Traditional,Farmhouse,high,"Classic black-and-white mosaic tile floor, white pedestal sink, traditional sconce lighting, and craftsman-style window trim.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, pale gray walls with white trim, black and white tile flooring, classic chrome sconce, traditional cottage",train
/home/jupyter/dataset_lora/after/bathroom__8db07619badad053ee_v2.jpg,8db07619badad053ee,v2,bathroom,"pale gray walls with white trim, black and white tile flooring, classic chrome sconce, traditional cottage",Traditional,Farmhouse,high,"Classic black-and-white mosaic tile floor, white pedestal sink, traditional sconce lighting, and craftsman-style window trim.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, pale gray walls with white trim, black and white tile flooring, classic chrome sconce, traditional cottage",train
/home/jupyter/dataset_lora/after/bathroom__8db07619badad053ee_v3.jpg,8db07619badad053ee,v3,bathroom,"pale gray walls with white trim, black and white tile flooring, classic chrome sconce, traditional cottage",Traditional,Farmhouse,high,"Classic black-and-white mosaic tile floor, white pedestal sink, traditional sconce lighting, and craftsman-style window trim.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, pale gray walls with white trim, black and white tile flooring, classic chrome sconce, traditional cottage",train
/home/jupyter/dataset_lora/after/bathroom__8db07619badad053ee_v4.jpg,8db07619badad053ee,v4,bathroom,"pale gray walls with white trim, black and white tile flooring, classic chrome sconce, traditional cottage",Traditional,Farmhouse,high,"Classic black-and-white mosaic tile floor, white pedestal sink, traditional sconce lighting, and craftsman-style window trim.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, pale gray walls with white trim, black and white tile flooring, classic chrome sconce, traditional cottage",train
/home/jupyter/dataset_lora/after/bathroom__bd98af46d2f2e69f13_orig.jpg,bd98af46d2f2e69f13,orig,bathroom,"wood plank accent wall, charcoal double vanity with marble top, gray tile flooring, black industrial sconces, modern rustic",Contemporary,Rustic,high,"Wood plank accent wall, marble vanity countertop, clean-lined dark gray cabinetry, industrial black sconces, and large gray floor tiles.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, wood plank accent wall, charcoal double vanity with marble top, gray tile flooring, black industrial sconces, modern rustic",train
/home/jupyter/dataset_lora/after/bathroom__bd98af46d2f2e69f13_v0.jpg,bd98af46d2f2e69f13,v0,bathroom,"wood plank accent wall, charcoal double vanity with marble top, gray tile flooring, black industrial sconces, modern rustic",Contemporary,Rustic,high,"Wood plank accent wall, marble vanity countertop, clean-lined dark gray cabinetry, industrial black sconces, and large gray floor tiles.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, wood plank accent wall, charcoal double vanity with marble top, gray tile flooring, black industrial sconces, modern rustic",train
/home/jupyter/dataset_lora/after/bathroom__bd98af46d2f2e69f13_v1.jpg,bd98af46d2f2e69f13,v1,bathroom,"wood plank accent wall, charcoal double vanity with marble top, gray tile flooring, black industrial sconces, modern rustic",Contemporary,Rustic,high,"Wood plank accent wall, marble vanity countertop, clean-lined dark gray cabinetry, industrial black sconces, and large gray floor tiles.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, wood plank accent wall, charcoal double vanity with marble top, gray tile flooring, black industrial sconces, modern rustic",train
/home/jupyter/dataset_lora/after/bathroom__bd98af46d2f2e69f13_v2.jpg,bd98af46d2f2e69f13,v2,bathroom,"wood plank accent wall, charcoal double vanity with marble top, gray tile flooring, black industrial sconces, modern rustic",Contemporary,Rustic,high,"Wood plank accent wall, marble vanity countertop, clean-lined dark gray cabinetry, industrial black sconces, and large gray floor tiles.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, wood plank accent wall, charcoal double vanity with marble top, gray tile flooring, black industrial sconces, modern rustic",train
/home/jupyter/dataset_lora/after/bathroom__bd98af46d2f2e69f13_v3.jpg,bd98af46d2f2e69f13,v3,bathroom,"wood plank accent wall, charcoal double vanity with marble top, gray tile flooring, black industrial sconces, modern rustic",Contemporary,Rustic,high,"Wood plank accent wall, marble vanity countertop, clean-lined dark gray cabinetry, industrial black sconces, and large gray floor tiles.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, wood plank accent wall, charcoal double vanity with marble top, gray tile flooring, black industrial sconces, modern rustic",train
/home/jupyter/dataset_lora/after/bathroom__bd98af46d2f2e69f13_v4.jpg,bd98af46d2f2e69f13,v4,bathroom,"wood plank accent wall, charcoal double vanity with marble top, gray tile flooring, black industrial sconces, modern rustic",Contemporary,Rustic,high,"Wood plank accent wall, marble vanity countertop, clean-lined dark gray cabinetry, industrial black sconces, and large gray floor tiles.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, wood plank accent wall, charcoal double vanity with marble top, gray tile flooring, black industrial sconces, modern rustic",train
/home/jupyter/dataset_lora/after/bathroom__e80883dfda6c1bc7fe_orig.jpg,e80883dfda6c1bc7fe,orig,bathroom,"crisp white walls, white shaker vanity, patterned grey cement tile flooring, bright natural light, transitional chic",Traditional,Contemporary,high,"White shaker cabinets, arched window, patterned floor tiles, round gold mirror, and a bright white color palette.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, crisp white walls, white shaker vanity, patterned grey cement tile flooring, bright natural light, transitional chic",train
/home/jupyter/dataset_lora/after/bathroom__e80883dfda6c1bc7fe_v0.jpg,e80883dfda6c1bc7fe,v0,bathroom,"crisp white walls, white shaker vanity, patterned grey cement tile flooring, bright natural light, transitional chic",Traditional,Contemporary,high,"White shaker cabinets, arched window, patterned floor tiles, round gold mirror, and a bright white color palette.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, crisp white walls, white shaker vanity, patterned grey cement tile flooring, bright natural light, transitional chic",train
/home/jupyter/dataset_lora/after/bathroom__e80883dfda6c1bc7fe_v1.jpg,e80883dfda6c1bc7fe,v1,bathroom,"crisp white walls, white shaker vanity, patterned grey cement tile flooring, bright natural light, transitional chic",Traditional,Contemporary,high,"White shaker cabinets, arched window, patterned floor tiles, round gold mirror, and a bright white color palette.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, crisp white walls, white shaker vanity, patterned grey cement tile flooring, bright natural light, transitional chic",train
/home/jupyter/dataset_lora/after/bathroom__e80883dfda6c1bc7fe_v2.jpg,e80883dfda6c1bc7fe,v2,bathroom,"crisp white walls, white shaker vanity, patterned grey cement tile flooring, bright natural light, transitional chic",Traditional,Contemporary,high,"White shaker cabinets, arched window, patterned floor tiles, round gold mirror, and a bright white color palette.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, crisp white walls, white shaker vanity, patterned grey cement tile flooring, bright natural light, transitional chic",train
/home/jupyter/dataset_lora/after/bathroom__e80883dfda6c1bc7fe_v3.jpg,e80883dfda6c1bc7fe,v3,bathroom,"crisp white walls, white shaker vanity, patterned grey cement tile flooring, bright natural light, transitional chic",Traditional,Contemporary,high,"White shaker cabinets, arched window, patterned floor tiles, round gold mirror, and a bright white color palette.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, crisp white walls, white shaker vanity, patterned grey cement tile flooring, bright natural light, transitional chic",train
/home/jupyter/dataset_lora/after/bathroom__e80883dfda6c1bc7fe_v4.jpg,e80883dfda6c1bc7fe,v4,bathroom,"crisp white walls, white shaker vanity, patterned grey cement tile flooring, bright natural light, transitional chic",Traditional,Contemporary,high,"White shaker cabinets, arched window, patterned floor tiles, round gold mirror, and a bright white color palette.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, crisp white walls, white shaker vanity, patterned grey cement tile flooring, bright natural light, transitional chic",train
/home/jupyter/dataset_lora/after/bathroom__f046b472a0ff15ea16_orig.jpg,f046b472a0ff15ea16,orig,bathroom,"soft gray walls, slate gray vanity with marble top, marble basketweave tile flooring, brass sconces, transitional",Traditional,Contemporary,high,"Shaker-style grey vanity, marble basketweave floor tile, brass shaded sconces, oval black-framed mirror, and cool grey palette.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, soft gray walls, slate gray vanity with marble top, marble basketweave tile flooring, brass sconces, transitional",train
/home/jupyter/dataset_lora/after/bathroom__f046b472a0ff15ea16_v0.jpg,f046b472a0ff15ea16,v0,bathroom,"soft gray walls, slate gray vanity with marble top, marble basketweave tile flooring, brass sconces, transitional",Traditional,Contemporary,high,"Shaker-style grey vanity, marble basketweave floor tile, brass shaded sconces, oval black-framed mirror, and cool grey palette.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, soft gray walls, slate gray vanity with marble top, marble basketweave tile flooring, brass sconces, transitional",train
/home/jupyter/dataset_lora/after/bathroom__f046b472a0ff15ea16_v1.jpg,f046b472a0ff15ea16,v1,bathroom,"soft gray walls, slate gray vanity with marble top, marble basketweave tile flooring, brass sconces, transitional",Traditional,Contemporary,high,"Shaker-style grey vanity, marble basketweave floor tile, brass shaded sconces, oval black-framed mirror, and cool grey palette.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, soft gray walls, slate gray vanity with marble top, marble basketweave tile flooring, brass sconces, transitional",train
/home/jupyter/dataset_lora/after/bathroom__f046b472a0ff15ea16_v2.jpg,f046b472a0ff15ea16,v2,bathroom,"soft gray walls, slate gray vanity with marble top, marble basketweave tile flooring, brass sconces, transitional",Traditional,Contemporary,high,"Shaker-style grey vanity, marble basketweave floor tile, brass shaded sconces, oval black-framed mirror, and cool grey palette.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, soft gray walls, slate gray vanity with marble top, marble basketweave tile flooring, brass sconces, transitional",train
/home/jupyter/dataset_lora/after/bathroom__f046b472a0ff15ea16_v3.jpg,f046b472a0ff15ea16,v3,bathroom,"soft gray walls, slate gray vanity with marble top, marble basketweave tile flooring, brass sconces, transitional",Traditional,Contemporary,high,"Shaker-style grey vanity, marble basketweave floor tile, brass shaded sconces, oval black-framed mirror, and cool grey palette.","photorealistic renovated interior, professional real estate photography, high detail","photorealistic renovated interior, professional real estate photography, high detail, soft gray walls, slate gray vanity with marble top, marble basketweave tile flooring, brass sconces, transitional",train
